Block;Tray;Position;Focal.sp;Neighb.ID;Neighb.Age;Rowtype;0;2;4;6;8;10;12;14;17
1;1;1;Pl;Ant;Y;Pl-Ant-Y;1;1;1;4;5;7;7;7;7
1;1;2;Pl;Pl;O;Pl-Pl-O;1;1;1;2;2;5;7;7;7
1;1;3;Leu;Fes;O;Leu-Fes-O;1;1;1;1;1;1;1;1;1
1;1;4;Pl;Leu;Y;Pl-Leu-Y;1;1;2;4;5;7;7;7;7
1;2;1;Pl;Fes;O;Pl-Fes-O;1;1;1;2;3;6;6;7;7
1;2;2;Pl;Pl;Y;Pl-Pl-Y;1;1;2;5;7;7;7;7;7
1;2;3;Leu;Ant;O;Leu-Ant-O;1;1;1;1;1;1;1;1;1
1;2;4;Leu;Leu;Y;Leu-Leu-Y;1;1;1;2;2;2;2;2;2
1;2;5;Pl;None;None;Pl-None-None;1;1;1;2;4;6;7;7;7
1;3;2;Pl;Leu;O;Pl-Leu-O;1;1;1;1;3;3;5;5;5
1;3;4;Pl;Ant;O;Pl-Ant-O;1;1;1;3;3;4;5;7;7
1;4;1;Leu;None;None;Leu-None-None;1;1;2;3;5;6;7;7;7
1;4;2;Leu;Ant;Y;Leu-Ant-Y;1;1;2;4;4;4;5;5;5
1;4;3;Leu;Pl;O;Leu-Pl-O;1;1;1;1;1;1;6;7;7
1;4;5;Pl;Fes;Y;Pl-Fes-Y;1;1;2;2;6;7;7;7;7
2;5;1;Leu;None;None;Leu-None-None;1;1;1;1;1;1;1;1;1
2;5;2;Leu;Pl;O;Leu-Pl-O;1;1;1;1;3;4;4;7;7
2;5;3;Pl;Leu;O;Pl-Leu-O;1;1;1;1;1;1;1;1;3
2;5;4;Leu;Fes;Y;Leu-Fes-Y;1;1;1;1;1;1;1;1;1
2;6;1;Leu;Fes;O;Leu-Fes-O;1;1;1;1;1;1;1;1;1
2;6;2;Pl;None;None;Pl-None-None;1;1;1;3;5;7;7;7;7
2;6;3;Pl;Leu;Y;Pl-Leu-Y;1;1;2;3;5;7;7;7;7
2;6;4;Pl;Pl;Y;Pl-Pl-Y;1;1;2;5;7;7;7;7;7
2;6;5;Leu;Ant;O;Leu-Ant-O;1;1;1;1;1;1;1;1;1
2;7;1;Leu;Ant;Y;Leu-Ant-Y;1;1;2;2;2;2;2;2;2
2;7;4;Leu;Leu;Y;Leu-Leu-Y;1;1;2;2;4;4;6;6;6
2;7;5;Pl;Pl;O;Pl-Pl-O;1;1;1;3;5;7;7;7;7
2;8;1;Leu;Pl;Y;Leu-Pl-Y;1;1;2;4;6;6;7;7;7
2;8;2;Pl;Ant;O;Pl-Ant-O;1;1;2;3;5;6;6;6;6
2;8;4;Leu;Leu;O;Leu-Leu-O;1;1;2;2;2;2;2;2;2
2;8;5;Pl;Fes;Y;Pl-Fes-Y;1;1;2;3;6;7;7;7;7
3;9;1;Leu;Pl;O;Leu-Pl-O;1;1;2;2;4;7;7;7;7
3;9;2;Pl;Leu;Y;Pl-Leu-Y;1;1;1;4;6;7;7;7;7
3;9;3;Leu;Ant;O;Leu-Ant-O;1;1;1;1;1;1;1;1;1
3;9;4;Leu;None;None;Leu-None-None;1;1;2;4;4;4;4;4;4
3;9;5;Leu;Fes;Y;Leu-Fes-Y;1;1;1;1;1;1;1;1;1
3;10;1;Pl;Pl;O;Pl-Pl-O;1;1;2;4;6;7;7;7;7
3;10;2;Leu;Leu;Y;Leu-Leu-Y;1;1;1;1;1;1;1;1;1
3;10;3;Leu;Fes;O;Leu-Fes-O;1;1;1;2;2;4;4;4;4
3;10;5;Leu;Ant;Y;Leu-Ant-Y;1;1;2;2;2;2;2;2;2
3;11;1;Pl;Leu;O;Pl-Leu-O;1;1;2;2;2;2;4;6;7
3;11;3;Pl;Ant;Y;Pl-Ant-Y;1;1;2;3;6;7;7;7;7
3;11;4;Pl;Fes;O;Pl-Fes-O;1;1;1;3;3;7;7;7;7
3;11;5;Pl;Pl;Y;Pl-Pl-Y;1;1;2;3;5;7;7;7;7
3;12;1;Leu;Pl;Y;Leu-Pl-Y;1;1;3;5;6;7;7;7;7
3;12;2;Pl;Ant;O;Pl-Ant-O;1;1;2;2;2;6;7;7;7
3;12;3;Pl;None;None;Pl-None-None;1;1;1;3;6;7;7;7;7
3;12;4;Pl;Fes;Y;Pl-Fes-Y;1;1;1;3;5;7;7;7;7
3;12;5;Leu;Leu;O;Leu-Leu-O;1;1;1;1;1;1;1;1;1
4;13;1;Pl;Pl;O;Pl-Pl-O;1;1;2;4;4;7;7;7;7
4;13;2;Pl;Fes;O;Pl-Fes-O;1;1;1;2;4;6;7;7;7
4;13;3;Leu;Leu;Y;Leu-Leu-Y;1;1;2;3;4;5;5;5;5
4;13;4;Pl;Ant;Y;Pl-Ant-Y;1;1;2;3;7;7;7;7;7
4;13;5;Pl;None;None;Pl-None-None;1;1;3;5;7;7;7;7;7
4;14;1;Pl;Leu;O;Pl-Leu-O;1;1;1;3;5;7;7;7;7
4;14;4;Pl;Pl;Y;Pl-Pl-Y;1;1;2;4;6;7;7;7;7
4;14;5;Pl;Ant;O;Pl-Ant-O;1;1;1;2;3;6;7;7;7
4;15;1;Leu;Pl;O;Leu-Pl-O;1;1;1;2;2;4;4;7;7
